,0,1,2,3,4
0,noscript,synonyms,,,
1,carry,inventory,,,
2,carry,noun,,,
3,carry,noun,,,
4,using,noun,,,
5,pick,multi,,,
6,remove,noun,,,
7,remove,noun,,,
8,using,noun,,,
9,put,multiexcept,,,
10,put,multiexcept,,,
11,put,multiheld,,,
12,discard,multiexcept,,,
13,give,offer,,,
14,go,synonyms,,,
15,leave,noun,,,
16,consult,noun,,,
17,uncover,undo,,,
18,describe,examine,,,
19,read,noun,,,
20,read,topic,,,
21,adjust,noun,,,
22,adjust,noun,,,
23,adjust,noun,,,
24,drag,noun,,,
25,drag,noun,,,
26,turn,twist,,,
27,rotate,noun,,,
28,rotate,noun,,,
29,break,crack,,,
30,hit,kill,,,
31,wait,synonyms,,,
32,say,shout,,,
33,tell,creature,,,
34,ask,creature,,,
35,ask,creature,,,
36,hear,synonyms,,,
37,hear,noun,,,
38,feel,synonyms,,,
39,burn,synonyms,,,
40,burn,noun,,,
41,burn,noun,,,
42,cut,prune,slice,,
43,pour,noun,,,
44,pour,noun,,,
45,fill,noun,,,
46,fill,noun,,,
47,carry,inventory,,,
48,carry,noun,,,
49,carry,noun,,,
50,using,noun,,,
51,remove,noun,,,
52,using,noun,,,
53,put,multiheld,,,
54,discard,multiheld,,,
55,put,multiexcept,,,
56,discard,multiexcept,,,
57,put,multiexcept,,,
58,insert,multiexcept,,,
59,discard,multiexcept,,,
60,leave,noun,,,
61,check,noun,,,
62,rotate,noun,,,
63,switch,noun,,,
64,rotate,noun,,,
65,switch,noun,,,
66,burn,noun,,,
67,burn,noun,,,
68,hear,noun,,,
69,using,noun,,,
70,attach,noun,,,
71,fill,noun,,,
72,bother,topic,,,
73,rotate,noun,,,
74,tell,creature,,,
75,ask,creature,,,
76,consult,noun,,,
77,consult,noun,,,
78,read,topic,,,
79,ask,creature,,,
80,pour,noun,,,
81,drag,noun,,,
82,rotate,noun,,,
83,adjust,noun,,,
84,adjust,noun,low,,
85,adjust,noun,,,
86,pour,noun,,,
87,fill,noun,,,
88,noscript,synonyms,,,
89,break,crack,,,
90,hit,kill,,,
91,enter,noun,,,
92,examine,noun,,,
93,go,synonyms,,,
94,leave,noun,,,
95,hear,synonyms,,,
96,hear,noun,,,
97,pick,multi,,,
98,put,multiexcept,,,
99,put,multiexcept,,,
100,put,multiheld,,,
101,carry,inventory,,,
102,turn,noun,,,
103,turn,noun,,,
104,wait,synonyms,,,
105,use,noun,,,
106,put,multiheld,,,
107,enter,noun,,,
108,examine,noun,,,
109,leave,noun,,,
110,put,multiexcept,,,
111,carry,inventory,,,
112,hear,noun,,,
113,put,multiexcept,,,
114,verify,parse,,,
115,save,parse,,,
116,noscript,synonyms,,,
117,nouns,parse,,,
118,notify,parse,,,
119,hold,pickup,,,
120,carry,noun,,,
121,carry,parse,,,
122,get,parse,,,
123,pick,parse,,,
124,stand,parse,,,
125,remove,noun,,,
126,remove,parse,,,
127,put,parse,,,
128,discard,parse,,,
129,give,offer,,,
130,go,synonyms,,,
131,leave,parse,,,
132,consult,parse,,,
133,uncover,undo,,,
134,lie,parse,,,
135,describe,examine,,,
136,check,parse,,,
137,read,parse,,,
