,0,1,2,3,4
0,carry,noun,with,noun,
1,remove,noun,with,noun,
2,consult,noun,on,topic,
3,read,topic,in,noun,
4,drag,noun,under,noun,
5,tell,creature,about,topic,
6,ask,creature,about,topic,
7,ask,creature,for,noun,
8,pour,noun,into,noun,
9,fill,noun,from,noun,
10,carry,noun,with,noun,
11,attach,noun,to,noun,
12,tell,creature,about,topic,
13,ask,creature,about,topic,
14,consult,noun,about,topic,
15,consult,noun,on,topic,
16,read,topic,in,noun,
17,ask,creature,for,noun,
18,pour,noun,into,noun,
19,drag,noun,under,noun,
20,aim,noun,at,noun,
21,consult,noun,on,topic,
22,read,topic,in,noun,
23,tell,creature,about,topic,
24,ask,creature,about,topic,
25,ask,creature,for,noun,
26,attach,noun,to,noun,
27,tell,creature,about,topic,
28,ask,creature,about,topic,
29,consult,noun,about,topic,
30,consult,noun,on,topic,
31,read,topic,in,noun,
32,ask,creature,for,noun,
33,tell,CREATURE,about,TEXT,
34,ask,CREATURE,about,TEXT,
35,ask,CREATURE,about,TEXT,
36,tell,CREATURE,about,TEXT,
37,tell,CREATURE,about,TEXT,
38,ask,CREATURE,about,TEXT,
39,consult,noun,on,topic,
40,tell,creature,about,topic,
41,ask,creature,about,topic,
42,ask,creature,for,noun,
43,read,topic,in,noun,
44,attach,noun,to,noun,
45,tell,creature,about,topic,
46,ask,creature,about,topic,
47,consult,noun,about,topic,
48,consult,noun,on,topic,
49,read,topic,in,noun,
50,ask,creature,for,noun,
51,read,topic,in,noun,
52,throw,noun,at,noun,REVERSE
53,attach,noun,to,noun,
54,throw,noun,at,noun,REVERSE
55,break,noun,with,noun,
56,tell,creature,about,scope,
57,ask,creature,about,scope,
58,read,topic,in,noun,
59,ask,creature,for,scope,
60,follow,noun,to,scope,
61,consult,noun,on,topic,
62,check,noun,in,noun,
63,read,topic,in,noun,
64,tell,creature,about,topic,
65,ask,creature,about,topic,
66,ask,creature,for,noun,
67,attach,noun,to,noun,
68,tell,creature,about,topic,
69,ask,creature,about,topic,
70,consult,noun,about,topic,
71,consult,noun,on,topic,
72,read,topic,in,noun,
73,ask,creature,for,noun,
74,consult,noun,on,topic,
75,read,topic,in,noun,
76,consult,noun,about,topic,
77,consult,noun,on,topic,
78,read,topic,in,noun,
79,tell,creature,about,topic,
80,ask,creature,for,noun,
81,ask,creature,about,topic,
82,attach,noun,with,wrench,
83,ask,creature,about,topic,
84,adjust,noun,to,topic,
85,tell,creature,about,topic,
86,ask,creature,for,noun,
87,attach,noun,with,wrench,
88,consult,noun,on,topic,
89,read,topic,in,noun,
90,tell,creature,about,topic,
91,ask,creature,about,topic,
92,ask,creature,for,noun,
93,attach,noun,to,noun,
94,tell,creature,about,topic,
95,ask,creature,about,topic,
96,consult,noun,about,topic,
97,consult,noun,on,topic,
98,read,topic,in,noun,
99,ask,creature,for,noun,
100,tell,creature,about,topic,
101,ask,creature,for,noun,
102,ask,creature,about,topic,
103,ask,creature,about,topic,
104,adjust,noun,to,topic,
105,tell,creature,about,topic,
106,ask,creature,for,noun,
107,consult,noun,on,topic,
108,read,topic,in,noun,
109,tell,creature,about,topic,
110,ask,creature,about,topic,
111,ask,creature,for,noun,
112,attach,noun,to,noun,
113,ask,creature,about,topic,
114,consult,noun,about,topic,
115,consult,noun,on,topic,
116,read,topic,in,noun,
117,ask,creature,for,noun,
118,consult,noun,on,topic,
119,read,topic,in,noun,
120,tell,creature,about,topic,
121,ask,creature,about,topic,
122,ask,creature,for,noun,
123,tell,creature,about,topic,
124,ask,creature,about,topic,
125,consult,noun,about,topic,
126,consult,noun,on,topic,
127,read,topic,in,noun,
128,ask,creature,for,noun,
129,consult,noun,on,topic,
130,tell,creature,about,scope,
131,ask,creature,about,scope,
132,ask,creature,for,noun,
133,consult,noun,about,topic,
134,consult,noun,on,topic,
135,set,multiexcept,on,noun,
136,wave,noun,at,noun,
137,ask,creature,about,scope,
138,tell,creature,about,scope,
139,ask,creature,for,noun,
140,tell,creature,about,scope,
141,tell,creature,about,topic,
142,ask,creature,about,scope,
143,ask,creature,about,topic,
144,ask,creature,for,topic,
145,ask,creature,about,topic,
146,adjust,noun,to,topic,
147,tell,creature,about,topic,
148,ask,creature,about,scope,
149,tell,creature,about,scope,
150,ask,creature,for,scope,
151,ask,creature,for,topic,
152,consult,noun,on,topic,
153,read,topic,in,noun,
154,tell,creature,about,topic,
155,ask,creature,about,topic,
156,ask,creature,for,noun,
157,attach,noun,to,noun,
158,tell,creature,about,topic,
159,ask,creature,about,topic,
160,consult,noun,about,topic,
161,consult,noun,on,topic,
162,read,topic,in,noun,
163,ask,creature,for,noun,
164,ask,creature,about,topic,
165,ask,creature,for,noun,
166,consult,noun,on,topic,
167,tell,creature,about,topic,
168,aim,noun,at,noun,
169,hang,noun,from,noun,
170,hang,noun,on,noun,
171,hold,noun,near,noun,
172,hold,noun,against,noun,
173,hold,noun,alongside,noun,
174,hold,noun,besides,noun,
175,hold,noun,to,noun,
176,move,noun,near,noun,
177,move,noun,against,noun,
178,move,noun,besides,noun,
179,throw,noun,against,noun,
180,throw,noun,at,noun,
181,throw,noun,on,noun,
182,throw,noun,onto,noun,
183,ask,creature,about,topic,
184,consult,noun,on,topic,
185,tell,creature,about,topic,
186,throw,noun,against,noun,
187,throw,noun,at,noun,
188,throw,noun,on,noun,
189,ask,creature,to,topic,
190,ask,creature,for,noun,
191,drag,noun,with,noun,REVERSE
192,flap,noun,with,noun,REVERSE
193,hang,noun,from,noun,
194,hold,noun,near,noun,
195,hold,noun,close,by,noun
196,hold,noun,against,noun,
197,hold,noun,alongside,noun,
198,hold,noun,besides,noun,
199,hold,noun,to,noun,
200,hold,noun,by,noun,
